Username	Machine	Creation_date
chmlr	ARC1	2013-06-11 08:19:40.0
chmlr	ARC2	2014-01-08 17:01:27.92
chmmab	ARC1	2011-05-19 14:19:52.0
chmmab	ARC2	2016-10-06 12:27:27.0
chmmab	ARC3	2017-03-22 14:33:11.887
chmmgdn	ARC1	2012-03-01 13:51:55.71
chmmgu	ARC1	2013-09-18 13:37:33.0
chmmmc	ARC1	2014-07-10 16:21:21.0
chmmmc	ARC2	2014-07-15 14:33:07.0
chmmmc	ARC3	2017-02-28 17:13:59.373
chmmpm	ARC1	2015-10-21 12:46:38.0
chmmpm	ARC2	2015-10-21 12:46:41.0
chmmro	ARC1	2013-09-10 10:45:05.0
chmmro	ARC2	2014-01-16 08:19:56.347
chmmw	ARC2	2018-04-10 17:49:42.0
chmmw	ARC3	2018-04-10 17:49:45.0
chmnw	ARC2	2017-12-19 16:46:27.423
chmnw	ARC3	2017-12-19 16:46:22.773
chmpcr	ARC1	2016-04-15 08:06:51.0
chmpcr	ARC2	2016-04-15 08:06:58.0
chmrb	ARC1	2012-04-26 10:13:20.0
chmrgo	ARC1	2014-07-02 14:52:25.0
chmrgo	ARC2	2014-07-02 15:15:32.0
chmrjfo	ARC1	2011-05-16 13:45:46.0
chmrjfo	ARC2	2017-03-02 13:49:09.613
chmrjfo	ARC3	2017-03-02 13:49:12.86
chmrpld	ARC1	2013-03-22 16:04:26.56
chmrsh	ARC1	2012-12-07 15:18:38.813
chmrsh	ARC2	2014-01-28 15:51:21.477
chmrt	ARC1	2015-02-13 12:36:23.077
chmrt	ARC2	2015-02-13 12:36:26.707
chmsau	ARC2	2017-02-17 14:13:57.71
chmsfe	ARC1	2014-08-11 17:12:42.0
chmsfe	ARC2	2014-08-11 17:12:49.0
chmsgo	ARC2	2017-04-27 15:26:47.0
chmsgo	ARC3	2017-04-27 15:26:55.0
chmskr	ARC1	2011-03-15 12:31:43.493
chmskr	ARC2	2014-02-10 11:35:28.887
chmso	ARC1	2013-10-23 17:26:37.0
chmso	ARC2	2014-07-21 16:07:40.0
chmtko	ARC2	2014-10-23 09:57:25.0
chmtpk	ARC2	2018-08-14 11:38:42.0
chmtpk	ARC3	2018-08-14 11:38:46.0
chmvav	ARC1	2011-05-11 15:54:14.0
chmvav	ARC2	2014-04-04 16:18:02.0
chmvfr	ARC1	2017-02-09 09:07:28.587
chmvfr	ARC2	2017-02-09 09:07:24.7
chmyi	ARC1	2012-03-01 13:43:52.04
cm06rt	ARC1	2012-03-01 13:47:42.953
cm07dcfm	ARC1	2012-04-17 08:12:51.0
cm08kms	ARC1	2012-12-21 11:59:36.103
cm08mh	ARC1	2012-03-01 17:25:25.83
cm09lj	ARC1	2014-05-16 10:31:34.0
cm09lj	ARC2	2014-10-27 10:21:13.47
cm09lj	ARC3	2017-07-24 09:44:10.0
cm09mij	ARC2	2017-10-04 15:41:36.0
cm09mij	ARC3	2017-10-04 15:41:31.0
cm09rcj	ARC1	2012-11-12 14:21:54.27
cm10a2p	ARC2	2018-08-01 14:06:38.0
cm10a2p	ARC3	2018-08-01 14:06:42.0
cm10m2d	ARC1	2012-06-12 09:15:21.0
cm10sma	ARC1	2014-03-04 07:58:29.8
cm11aec	ARC1	2014-10-29 09:54:35.383
cm11aec	ARC2	2014-10-29 09:54:39.803
cm11cw	ARC1	2016-09-22 16:01:50.0
cm11cw	ARC2	2016-09-22 16:01:55.0
cm11cw	ARC3	2017-12-06 12:45:39.99
cm11d3p	ARC1	2016-11-21 13:14:48.673
cm11d3p	ARC2	2016-11-21 13:14:52.917
cm11d3p	ARC3	2017-10-02 11:42:05.0
cm11lh	ARC1	2014-10-07 09:25:37.0
cm11lh	ARC2	2014-10-07 09:25:40.0
cm11lr	ARC1	2014-10-29 12:34:46.077
cm11lr	ARC2	2014-10-29 12:34:49.393
cm11r2s	ARC1	2016-07-20 16:53:47.0
cm11r2s	ARC2	2016-07-20 16:53:50.0
cm11re	ARC1	2014-07-10 16:20:40.0
cm11rj	ARC1	2016-07-15 15:56:56.0
cm11rj	ARC2	2016-07-15 15:57:04.0
cm11rj	ARC3	2017-09-07 16:44:50.0
cm11rs	ARC1	2014-06-16 08:08:12.0
cm11rs	ARC2	2014-06-25 15:05:04.0
cm11scsc	ARC1	2014-10-22 09:16:27.0
cm11scsc	ARC2	2014-10-22 09:16:37.0
cm11sls	ARC2	2017-02-20 17:11:35.82
cm11sls	ARC3	2017-10-10 16:27:29.0
cm11ths	ARC1	2016-04-12 09:15:41.0
cm11ths	ARC2	2016-04-12 09:15:47.0
cm11ths	ARC3	2017-04-12 12:18:55.0
cm11ths	MARC1	2017-11-23 07:57:49.583
cm12ap	ARC2	2017-11-06 12:44:15.86
cm12ap	ARC3	2017-11-06 12:44:18.983
cm12lmr	ARC1	2015-10-09 16:26:33.0
